Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
MAIN_MSGf32EngPAmbAirPhys|float32|MAIN|0|0|0|MAIN_MSGf32EngPAmbAirPhys|0|0|Phys|kPa|1|1|0|Communication|ECM3|Physical|MAIN_MSGf32EngPAmbAirPhys||1|||||||NONE|0|1||||1|0|0|Message ECM3 20ms |0||||||
MAIN_MSGu8EngT|uint8|MAIN|0|0|0|MAIN_MSGu8EngT|0|0|Hexa|-||||Communication|ECM3|Raw|MAIN_MSGu8EngT||1|||||||NONE|0|1||||1|0|0|Message ECM3 20ms |0||||||
MAIN_MSGf32EngTPhys|float32|MAIN|0|0|0|MAIN_MSGf32EngTPhys|0|0|Phys|deg C|1|1|0|Communication|ECM3|Physical|MAIN_MSGf32EngTPhys||1|||||||NONE|0|1||||1|0|0|Message ECM3 20ms |0||||||
MAIN_MSGbOBDDrivingCycleStatus|boolean|MAIN|0|0|0|MAIN_MSGbOBDDrivingCycleStatus|0|0|Phys|bool|2|0||Communication|ECM3|Raw|MAIN_MSGbOBDDrivingCycleStatus||1|||||||NONE|0|1||||1|0|0|Message ECM3 20ms |0||||||
MAIN_MSGbOBDWarmUpCycleStatus|boolean|MAIN|0|0|0|MAIN_MSGbOBDWarmUpCycleStatus|0|0|Phys|bool|2|0||Communication|ECM3|Raw|MAIN_MSGbOBDWarmUpCycleStatus||1|||||||NONE|0|1||||1|0|0|Message ECM3 20ms |0||||||
MAIN_MSGu8AmbAirTemp|uint8|MAIN|0|0|0|MAIN_MSGu8AmbAirTemp|0|0|Hexa|-||||Communication|IP1|Raw|MAIN_MSGu8AmbAirTemp||1|||||||NONE|0|1||||1|0|0|Message IP1 20ms |0||||||
MAIN_MSGf32AmbAirTempPhys|float32|MAIN|0|0|0|MAIN_MSGf32AmbAirTempPhys|0|0|Phys|deg C|1|1|0|Communication|IP1|Physical|MAIN_MSGf32AmbAirTempPhys||1|||||||NONE|0|1||||1|0|0|Message IP1 20ms |0||||||
MAIN_MSGu8EngNIdleReq|uint8|MAIN|0|0|0|MAIN_MSGu8EngNIdleReq|0|0|Hexa|-||||Communication|TCU1|Raw|MAIN_MSGu8EngNIdleReq||1|||||||NONE|0|1||||1|0|0|Message TCU1 10ms |0||||||
MAIN_MSGf32EngNIdleReqPhys|float32|MAIN|0|0|0|MAIN_MSGf32EngNIdleReqPhys|0|0|Phys|rpm|1|1|0|Communication|TCU1|Physical|MAIN_MSGf32EngNIdleReqPhys||1|||||||NONE|0|1||||1|0|0|Message TCU1 10ms |0||||||
MAIN_MSGu8EngTqIndDecReqdByTrsm|uint8|MAIN|0|0|0|MAIN_MSGu8EngTqIndDecReqdByTrsm|0|0|Hexa|-||||Communication|TCU1|Raw|MAIN_MSGu8EngTqIndDecReqdByTrsm||1|||||||NONE|0|1||||1|0|0|Message TCU1 10ms |0||||||
MAIN_MSGf32EngTqIndDecReqdByTrsmPhys|float32|MAIN|0|0|0|MAIN_MSGf32EngTqIndDecReqdByTrsmPhys|0|0|Phys|Nm|1|1|0|Communication|TCU1|Physical|MAIN_MSGf32EngTqIndDecReqdByTrsmPhys||1|||||||NONE|0|1||||1|0|0|Message TCU1 10ms |0||||||
